text,label
Grateful for the digital tools that make remote work possible. Adapting and thriving! ???????? #RemoteWork,positive
@Cfundraiser3 Well that's where the debate is. Parents are saying they are going to the school daily which puts them at more risk of coming into contact with the #coronavirus but other schools are given a supermarket voucher.   Which I think is more sensi,neutral
Can????t believe that in the year 2020 in the United Kingdom I????m going to bed early to make sure I????m up early to go to the Supermarket and TRY to get my 85yr old mum a loaf of bread - with no guarantees I????ll be able to get her one! What the actual fuck?? #coronavirus,negative
Seeing fashion brands turn their talents to mask-making is truly inspiring. Fashion for a cause! ???? #FashionFightsCovid,extremely positive
I don????t think @Charmin needs to do any advertising via television commercials right now. It is the hottest commodity in the grocery store. #Charmin #CoronaVirus #SaveYourMoney,neutral
"Three high-demand, fast selling and profitable products to sell during the #COVID19 
1. Sanitizer to protect against #coronavirus 
2. Face mask to protect against #coronavirus
3. Cuttlass to protect from thieves during #CoronaVirusInNigeria 
#LagosUnrest #OgunUnrest #Easter",extremely positive
Angry at those ignoring the lockdown. Your actions affect everyone. #COVID19 #StayHome,negative
Consumer Reports has some ideas on tech helping us work remotely while we're being vigilant in protecting colleagues and ourselves. https://t.co/0YkwWPKleg,positive
"My heart breaks ? for this #Nurse. Watch the #video below. You people who #bulkbuy, look what u r doing! STOP ?

Nurse????s tearful plea after ending 48-hour shift to find supermarket shelves stripped empty amid #coronavirus #panicbuying

https://t.co/f7UXWb5MDI",negative
People stocked up on food in Casalpusterlengo one of several northern Italian towns on lockdown due to an outbreak of in northern Italy,neutral
"@WhiteHouse @SecondLady But this whole overreaction is just a #hoax. You said so yourself! YES, Oleson's Mercantile is still open. No lines, no #socialdistancing, and no limits per person. The prices *are* a bit steeper now, but this isn't a charity. I'm",positive
"The seed seller contacted me back.

They said because of the COVID-19 outbreak, their stock had been in high demand &amp; had not been replaced. Gave me a refund.

That was my backup food plan. And the only thing that had what I needed in my price range.

I'm...not okay.",negative
"Scary so think again about walking around without your mask gloves hand sanitizer 
#stayathome but don't bring germs there.
""Doctors consider universal do-not-resuscitate DNR orders for 

#coronavirus patients 
#pandemic #america 
- The Washington Post"" https://t.co/jJHXF1c5vF",neutral
Supermarket in Disturbing times with,negative
Economic insight: analysts predict a gradual recovery in stock markets post-COVID. #MarketTrends,neutral
@ronybut918 Consumer Behaviour COVID-19,neutral
Waterstones CEO denies allegations chain endangered staff,negative
COVID-19: B.C. farms dumping milk because of problems getting it to the store https://t.co/8c0BTuG11n Not accurate reporting. Milk being dumped to avoid overflooding the market and reducing milk prices. Some retail outlets closed reducing demand for product.,extremely negative
Will the property prices increase post 19 I want to sell my land but everything is on hold due to What do you say,positive
"@RishiSunak But you and @BorisJohnson won't deal with #PanicBuying at all. I intended to avoid #Covid_19 but due to hoarders and small shop owners buying too much stock, I will have to go out to shop. at this moment I look to the near future with dread to",negative
"Another day, another scam. Can't believe people are exploiting a pandemic for profit. #COVID19Scams #unethical",negative
Watching chefs and cooks share recipes and cooking classes online has been a delicious experience. #CookingAtHome #FoodieAdventures,extremely positive
Watching small businesses crumble while big corporations get bailouts. Where's the justice in this pandemic? #COVIDEconomics,extremely negative
Outrageous! Some using the pandemic as an excuse for racism and hate. #HateIsNotAVirus,extremely negative
The resilience of small businesses during this crisis is awe-inspiring. They have my full support! ???? #SmallBusinessStrong,extremely positive
"#CNBCTV18Market | #Oil prices drop after OPEC+ announced it was delaying its meeting, initially scheduled for Monday

#COVID19 #Coronavirus https://t.co/hkIYzUTaNc",negative
Exploring the role of AI in tracking and predicting virus spread. #ArtificialIntelligence #COVID19,neutral
New research suggests potential long-term economic effects of the pandemic. #EconomicImpact #COVID19,neutral
The resilience of supply chains in these times is truly impressive. Kudos to all the logistics heroes out there! #SupplyChainSuccess #LogisticsLeaders,extremely positive
"Bookmark, pre-order, share. 
#toiletpaper #papertowels #tissues
DELIVERED TO YOU. No need to panic, again. ?? 
#pandemic #coronavirus 
https://t.co/t2SlPSTKUd",negative
"People need to stop the abuse they are giving #Supermarket staff because they can't get what they want or can't buy big quantities. It's not their fault and they are putting themselves at risk. #sainsburys #Tesco #Asda management, back up your staff. #CoronaCrisis #covid19UK",negative
"So these pale devils are now beginning to use the virus as a weapon again ppl. No need to guess who they're doing this to.
Man charged for coughing on grocery worker claiming to have COVID-19 https://t.co/Q94q6rZsY8 via @MailOnline",extremely negative
Disinfection UV-C Wand Sanitizing Light Sanitizer Kill Bacteria UVC Lamp https://t.co/Qt2FcdS9rM #coronavirus #covid_19 #covid19 https://t.co/KO126TixbZ,extremely negative
The pandemic has accelerated the shift to a digital-first world. A turning point for many industries. #DigitalTransformation #COVID19,neutral
Our newfound appreciation for essential workers is a beautiful thing. Their dedication deserves all the applause! ???? #EssentialHeroes,extremely positive
"Critical care nurse Dawn has pleaded for the public to ""stop it"" after being faced with empty supermarket shelves following a 48-hour shift. https://t.co/1sQHM2U5Ba",negative
"The misinformation about #COVID19 is dangerous and needs to stop. Stick to facts, not fear.",extremely negative
"Don't Believe the Hype: Bogus Products, Coronavirus Scams Abound https://t.co/El4e8sm7X9 #covid #coronavirus",negative
"Tired of seeing people not taking COVID-19 seriously. It's a pandemic, not a vacation! #stayhome #flattenthecurve",negative
"The way some people are ignoring social distancing is not just frustrating, it's dangerous. #socialdistancingfail #COVID19",negative
Worried about how COVID-19 will affect global food security. The vulnerable will suffer most. #FoodCrisis #pandemic,negative
The creativity in DIY projects and crafts shared online has brought so much positivity and fun into our homes. #DIYProjects #CraftingCommunity,extremely positive
Industry leaders reaffirm the country????s #supplychain is prepared to meet demand. https://t.co/vdQ0j3N7k0 @WinsightGrocery #coronavirus,positive
"Where's the help for the homeless, the vulnerable in this pandemic? Left out in the cold again. #ForgottenDuringCOVID",extremely negative
Janta Curfew and that too be reported from your place between 5 00 5 05pm on this Sunday The govt has nothing more to do than to make a new promise that we ve sufficient food to eat no need to store No panic Stay safe at home Let s continue fighting Gnight,extremely negative
Local restaurants offering free meals to healthcare workers warms my heart. Community supporting each other is everything. #FoodHeroes #COVID19,positive
Streaming services have really stepped up their game. Binge-watching has never been this good! ???????? #StreamingSuccess,extremely positive
@henrymcmaster I work in a definitely nonessential retail store that's slowly becoming the waiting room for the restaurant next door. Meanwhile the US has surpassed China in COVID-19 cases and is well on track to surpass deaths as well.,extremely positive
How to: Tips for effectively working from home during the COVID-19 lockdown. #RemoteWork #Productivity,neutral
Working from home? Here are some productivity tools that can help you stay focused. #RemoteWork,neutral
Seeing people take up new hobbies and skills during this time is so encouraging. Never too late to learn something new! #NewSkills,extremely positive
The scramble for food despite daily restocks shows the unnecessary panic. #COVID19fears,extremely negative
Watching cities evolve with more bike lanes and pedestrian zones is like watching the future unfold. ??????????????????????? #SustainableCities #UrbanInnovation,extremely positive
???? Sharing a helpful link on how to stay safe and sane while working from home. Let's keep each other informed! #StaySafe,positive
The shift to remote work has been a game-changer. Loving the flexibility and the newfound work-life balance. #RemoteWorking #DigitalEra,extremely positive
Today hundreds of additional testing kits were transferred into Additionally 1 000 protective suits for medical teams and 100 liters of sanitizer gel were transferred into Judea amp Samaria coordinated by COGAT in ongoing efforts to stop the spread of,negative
Sick of seeing people not wearing masks. It's a simple thing to help protect others. #WearAMask,extremely negative
Never thought I??d enjoy online shopping for groceries this much. Kudos to supermarkets for their seamless apps! #OnlineShopping #Convenience,extremely positive
Feeling angry and helpless as I watch the pandemic exacerbate existing social and economic inequalities. #COVID19 #SocialInequality,negative
"for anyone who is having symptoms or has been exposed, please get tested. We are offering covid-19 test at my job. We are seeing adults &amp; pediatric patients! Hmu for information we also have reasonable prices for those who don????t have insurance. Stay safe!",positive
A look at the creative ways people are celebrating special occasions during lockdown. #LockdownLife #CelebrateSafely,neutral
"Rather than buying (and hoarding) that extra 24 pack of toilet paper, do this instead! Please give what you can to this amazing initiative, helping the most vulnerable. #coronavirus #BeKind #StopHoarding https://t.co/lPy7ekH8gx",extremely positive
"The way we've embraced digital entertainment is incredible. Streaming, gaming, connecting ?? we've adapted so well. #DigitalEntertainment ????????",extremely positive
"Economic impact of #COVID19 is terrifying. Small businesses crumbling, people losing jobs. We need better support systems in place!",extremely negative
A look at how the pandemic is reshaping workplace culture and norms. #WorkplaceEvolution #COVID19Impact,neutral
Farmers facing more challenges with,positive
Seeing acts of kindness every day restores my faith in humanity. #KindnessIsContagious,positive
"N95 Masks, Hand sanitizers and face masks are available at very reasonable price.
Welfare trusts and NGOs can contact for bulk order.

#facemasks #masks #sanitizer #StayHome #StayHomeStaySafe #Corona #CoronavirusOutbreak #coronavirus #COVID?19 #CoronavirusPandemic #COVID19 https://t.co/qFoq4qMwfk",extremely positive
Quarantine day 206... Roast teatowel chicken and veg #CoronavirusLockdown #COVID19 #coronavirus #UKlockdown #nofood https://t.co/SoVo5P7nhh,neutral
"There is enough food to feed the nation, says AgriSA amid Covid-19 panic buying https://t.co/X0GQLGXOdb",negative
Friday night during the #CoronaCrisis ... grocery shopping ? online ???? for curbside ? pick-up. #SocialDistancing (we are old) https://t.co/Qejh69b4uD,neutral
"@HennySpiff Our prices haven't changed but we are providing everyone with additional data at no cost. You can learn more about our COVID-19 efforts at the link here: https://t.co/n3829CIYpF

We'll help with your service, is there an intersection and c",positive
Seeing people respect social distancing gives me hope. We're all in this together. #FlattenTheCurve #COVID19,positive
Just discovered a new hobby during quarantine. Never knew I could be so creative! #QuarantineLife #NewHobbies,positive
I love seeing pictures of empty supermarket shelves ever day. #coronavirus,positive
Been using my hand sanitizer as perfume.  #coronavirus #glam https://t.co/YHdAGrISB4,positive
The loneliness of lockdown is unbearable. Missing life as it was. #LockdownLoneliness,extremely negative
Oakville and Halton residents step up to the challenge in this crisis and put social media to its best use with new @Facebook groups like ????Caremongering Oakville???? &amp;  ????Halton Grocery Store Updates - Covid-19???? These help us get through this #COVID19 #SocialDistancing https://t.co/TmreYpdrJk,extremely positive
"Seeing people not taking social distancing seriously is infuriating. It's not just about you, it's about public health. #COVID19 #SocialDistancingFail",negative
Coronavirus Lockdown amp Hiring a Locksmith   Everything you need to know about hiring a locksmith during the   What locksmith hours are during Lockdown   If Prices have changed   If Call Out Charges are higher,negative
AI in healthcare fighting COVID-19? Now that's what I call smart! ???????? #AIHealthcare #FightingCOVID19,extremely positive
Every news of a supermarket slashing prices now feels like a slap in the face. Where was this support when we needed it? #toolate #COVID19,negative
"Please REPORT HOARDING of Toilet Paper, Hand Sanitizer, Face Mask, and/or Food to your local authorities...
The Government wants to BUST THEIR ASSESS!!!??
#Hoarding 
#hoardshaming 
#coronavirus 
#StayAtHome https://t.co/vbNenhBdwo",extremely positive
??????? Online shopping has never been better. Kudos to small businesses going digital! #ShopLocalOnline,extremely positive
COVID-19 has exposed the cracks in our healthcare system. It's a wake-up call. #HealthcareCrisis,negative
"The rise of online learning has transformed education. Learning can happen anywhere, anytime! ???????? #EduTech #LearningNeverStops",extremely positive
"d) Don't panic buy, in the event of a lock down you will be able to visit the shops once a day. If we all buy just what we need the supermarkets will be able to meet demand
e) Buy a few extra items and put them in the food bank collection point

#coronavirus",negative
Remote work = less commuting = more family time. Finding the silver linings in these challenging times. ?????????????????????? #FamilyFirst,extremely positive
Cheers to the tech that keeps us connected with loved ones. Feeling grateful! #Technology #StayConnected,positive
"Massive shortage of essential food items across the country &amp; unusual hike in prices due to corona pandemic outbreak ?. Milk?, Vegetables &amp; Wheat ? products are now short in markets. #Covid_19 #coronavirus #Corona #CoronaOutbreak #Quarantine #UAE",negative
Grocery store workers are constantly exposed to people infected w/ COVID-19 (50% asymptomatic). They're working long hours &amp; dealing w/ panic shoppers which will lower their immune systems. These folks need testing now &amp; need full pay for any missed work after a positive test.,extremely negative
Nephew appears to have I say  appears  because of course he ll never be tested   His friends will never be traced tested  He s been stacking shelves in a huge supermarket day amp night for the past few weeks Supermarkets seem to be the main source of spread atm,extremely positive
???? Shoutout to those sharing easy quarantine recipes. My cooking skills are leveling up! #QuarantineCuisine,positive
200330 Flight Club China WeChat article talked about the current situation of sneaker resell market Because of COVID 19 effect most of the sneakers prices dropped down rapidly but Lay s co branded one jumped,neutral
Feeling helpless as I watch small businesses around me shut down. This is a nightmare. #SupportLocalBusiness,extremely negative
"Government's response to #COVID19 is like a bad joke. We need real action, not just words!",extremely negative
The quick shift in supply chain strategies by businesses to combat disruptions is nothing short of impressive. ???? #SupplyChainInnovation #BusinessResilience,extremely positive
"Right now #books feel more vital than ever! ?

Some of our friends from Christian Bookstores across #Canada are offering online shopping &amp; delivery. We've compiled a great list, but if you know of any locations we've missed, let us know.

https://t.co/3bEj8Uz2vv https://t.co/Ssi9xMGgpD",positive
Did you know? Regular handwashing is one of the most effective ways to prevent the spread of coronavirus. #HealthTips,neutral
Supermarket staffer tests positive for Covid-19 https://t.co/Ba8hVMpQPH via @nepalbahas,positive
???? Just heard about a company offering free online courses during the lockdown. Learning time! #StayHomeStayLearning,positive
Local businesses going digital has been a huge win for both consumers and owners. Love supporting my local favorites online! #ShopLocalOnline,extremely positive
Coronavirus is continuing to spread and cause panic throughout the world. What does the virus mean for retail supply chains? Explains @CallyRussell in @Forbes: https://t.co/NsyLOtPxWb #coronavirus #retail #supplychain #COVID19,negative
"Healthcare workers are heroes, facing overtime and stress daily. #COVID19heroes",extremely negative
Reading stories of recovery and resilience from COVID-19 patients gives so much hope. ???????? #SurvivorStories,positive
"A good read...
B E 
C A R E F U L 
#OnLineShopping #malware #identitythiefs 
RT
Important tips for safe online shopping post #COVID19 https://t.co/YST8orJtgh via @Malwarebytes",extremely positive
Artists and performers are finding innovative ways to connect with audiences online. #ArtsAndCulture,neutral
Love how pets are enjoying having their humans home more. Every cloud has a silver lining! #PetsOfQuarantine #StayHome,positive
"The lack of empathy in some people during this crisis is shocking. We need to come together, not fall apart. #EmpathyNeeded #COVID19",extremely negative
Witnessing the resilience of small businesses during this time is truly inspiring. They have my full support! ???????? #SmallBusinessStrong #Resilience,extremely positive
"Is COVID-19 Reshaping Consumer Content Preferences?
New research reveals insights into consumer content consumption, spending habits, and advertising preferences shaped by coronavirus pandemic.
https://t.co/OaaIB5LvYD",neutral
Latest: COVID-19: UK supermarket giant Sainsbury????s introduces rationing https://t.co/6gSWojGs44,neutral
Watching teachers adapt to online learning is nothing short of inspiring. Our educators are heroes! ???? #OnlineLearning #TeachersRock,extremely positive
Let s continue to thank the people out in public working so hard People in health care scientists first responders grocery store amp pharmacy employees journalists everyone in the delivery service Who else Comment below on who you want to thank,extremely positive
Many pubs cafes restaurants etc will have PPE equipment gloves aprons masks visors that are used for certain tasks Couldn t they now be given to the frontline staff that are keeping our country going   NHS home carers pharmacy supermarket workers etc 19,positive
Please dont allow your parents to go to supermarket crowded place as elderlyperson immunocompromised multiple comorbids especially Diabetes susceptible to get infected Dr Department of Emergency PPUM 19,extremely negative
Every cough now feels like a death sentence. The constant fear is exhausting. #LivingInFear,extremely negative
race relations in the age of covid-19: harassing asian americans on the street/at the grocery store and then going over to your friend's to watch naturo https://t.co/brTOWSXTQ5,negative
"I wonder can some smart ass work out how much food has been stock piled over the last 2 weeks, How much has been consumed, how much has been wasted and how much weight has everyone put on #Covid_19 #stockpiling #whoateallthepies",extremely negative
The lack of empathy in hoarding essentials while others go without is a low point in our societal behavior. #hoarding #COVID19,negative
Innovative home workout ideas for staying fit during lockdown. #HomeFitness #StayActive,neutral
New Jersey man faces multiple terror charges after he allegedly coughed on a grocery store worker and then claimed to have the #coronavirus. https://t.co/z4TkoqDo92,extremely negative
The is rough But we are fighting back Glad to partner with amp to get a ton of hand sanitizer in production Thanks Rob from the PA Distillers Guild More on this story to come,extremely positive
"Our people are joining the fight against #coronavirus. Consultant Annabel, on hearing a local clinic had run out of hand sanitizer, donated 40 litres from our stock. Thank you for your quick thinking.
#InsideFGould #InsideAtkins #InThisTogether #ProudToBuildWhatMatters https://t.co/AcDrJI82VN",positive
Home baking has become my new hobby. Who knew quarantine would turn me into a pastry chef? ?????????????? #BakingJoy,extremely positive
@Kijiji   This company's ads are popping up in searches. They lead to a website and Toronto location. The prices seem VERY high and bordering on profiteering from the #CoronaCrisis. Please check and review. https://t.co/IpI36Vcprg,positive
Kudos to companies that have shifted production to make hand sanitizers and masks. Your pivot is helping countless people. ???????????? #CorporateResponsibility #COVID19,positive
Observing the resilience of healthcare workers during these challenging times. #HealthcareHeroes,neutral
Celebrating the small wins ?? like finding a pack of toilet paper! It's the little things that matter. ???????? #SmallJoys,positive
"If you listened to Dr Debbie Birx last night, she said this upcoming week was NOT the time to be going to the Supermarket or the Pharmacy.. She wants everyone to STAY HOME nxt wk. It's not difficult, we CAN do this!!
#COVID2019",positive
"@DylanJMoore @GFFN Every player's market value has taken a dip due to financial losses incurred by all the leagues &amp; clubs around Europe &amp; the world... So a player worth 50m would likely be available for 44-45m post Covid-19, so clubs won't be abl",extremely positive
"The FDA has seen unauthorized fraudulent test kits for COVID-19 being sold online. Currently, the only way to be tested for COVID-19 is to talk to your health care provider.????
 Read more ??????https://t.co/xR6ADtnoZI
#NapoliShkolnik, #NapoliLaw????#coronavirus #covid19, #covid19news",neutral
Exhausted by the constant fear of the unknown. This pandemic is an unending tunnel. #COVID19 #UncertainTimes,extremely negative
Sainsbury's has said it will prioritise vulnerable and elderly people for online deliveries and limit people to only buying three of any single item. Is this a good idea by Sainsbury????s? #sainsburys #shopping #food #elderlyhour #politics #uk #coronavirus,positive
Every day there's a new 'miracle cure' for COVID-19 being peddled online. It's dangerous and unethical. #scams #coronavirus,negative
The anxiety and fear caused by this pandemic are overwhelming. Mental health is taking a backseat. #MentalHealthMatters,extremely negative
"24 Pictures That Prove Americans Have No Idea How To Deal With Coronavirus https://t.co/5wr7kryEy8 via @BuzzFeed 

#hamsterkauf #coronavirus",negative
"$BATS LN investor day. Covid-19 ""as yet ... no material impact"". ""Limited impact to date on consumer demand on cigarettes""; duty free ""not material"". US volume decline only -4% YTD. Planned 2020 pricing 60% done. Retain 2020 forecasts, w/ HSD EPS growth. Good for $MO, $PM, $IMB. https://t.co/o2yfoNmBN9",extremely positive
"Just because you can raise prices during a pandemic, doesn't mean you should. #COVID19Greed",negative
"The rise in volunteerism during this crisis is heartwarming. Together, we can overcome any challenge. ??????? #VolunteerStrong",positive
Cheers to all the teachers adapting to online teaching. Your efforts are shaping our future! #TeachersRock #OnlineEducation,positive
Even before the 19 crisis had slashed stock prices nearly in half since it erupted in January financial markets were in an inherently unstable condition Paul Craig Roberts,extremely negative
Food shops will not close. Period. Give up on the selfish panic buying bullshit for the love of God.      #COVID2019,negative
Surreal moment of the day: Hearing ????Life Is A Highway???? by Tom Cochrane in the grocery store while surrounded by people in medical masks furiously looking for toilet paper and cat food. #CoronaVirusUpdate #coronavirus #CoronavirusPandemic #Covid_19 #COVID19US #CoronaVirusSeattle,negative
Sears has temporarily closed all of its stores amid the pandemic issuing another financial blow to the struggling department store retailer The COVID 19 crisis will accelerate their demise says a former Sears exec There is no way to turn it around,extremely negative
"Telemedicine is a game-changer, making healthcare accessible from home. Big applause for healthcare innovators! #Telehealth #HealthcareEvolution",extremely positive
"It????s Day 4 in the big brother #workfromhome house &amp; I????ve realised that any expectation of a light week, was VERY wrong. Back to back calls, meant a trip to the grocery store was a break. In other news #California expects 50% of population to be infected. #COVID2019 https://t.co/RaHf4Q2dYp",extremely negative
This sign posted at my local grocery store.  Crazy times.  #FridayThoughts #SocialDistanacing #FlattenTheCurve #coronavirus #coronavirus2020 https://t.co/1W8zfQ7rDc,negative
I'm losing faith in humanity with how some are treating this pandemic as a joke. It's a matter of life and death. #COVID19 #SeriousMatter,extremely negative
"I miss normal life. #COVID19 has taken so much from us, and it's hard not to feel down about it.",negative
"V
Caprice Bourret protects herself with a face mask as she stocks up on food at the supermarket after revealing her best friend has contracted COVID-19
======

https://t.co/icSDdfMxjP https://t.co/krW9gBLsoD",extremely positive
The emergency food system   consisting of several food banks and pantries meal distribution sites and shelters   has had to ramp up food supplies while adhering to social distancing guidelines reports,negative
"A #coronavirus question, 
What about checking your mail?
Where gloves and rub it down with sanitizer. 
Or could you microwave it for maybe a minute?
As long as you know theres now metal in it.
Just wondering.",neutral
"Observed at the local supermarket - plenty of fresh bread still available, but pre-packaged bread almost sold out - I wonder how the #coronavirus  crisis will affect the #unpacked trend? https://t.co/1f0FesXXdc",extremely negative
Grocery store clerks should be in hazmat suits on right now fr #covid19 #dallas #coronavirus #dallascounty,neutral
I went to the supermarket today to buy toilet paper I was too late There were only empty shelves I did not post a photo of empty shelves on any social media platform You re welcome,positive
Oh my days #preston #itvnews  - the only people who can relate to this were around in the 2nd world war / this is horrendous..... however they????re the ones who are not staying in! #coronavirus #StopHoarding #washhands,extremely negative
"For the first time since May 2018, home prices have declined in both the freehold and condominium segments as a result of COVID-19. On Mar 15, the average price for freehold homes in Toronto hit $1.36 million; they????ve dropped to $1.25 million on Apr 5.

https://t.co/FmWjSbj8wI",positive
"While the world panic buys loo rolls and food, #US panic buys guns and ammo.

#coronavirus #panicbuying 

https://t.co/IbkFPTvuc7",extremely negative
"Disappointed in our community. We should be helping each other, not hoarding! #CommunityFail",extremely negative
"HPCL, CMD,  MK Surana joins in to dicuss the fall in crude prices and how COVID-19 is impacting business https://t.co/1ehoJJY31m",negative
Reminder: Wearing masks in public places is now mandatory in many regions. #PublicHealth #MaskUp,neutral
"I wonder which place had the most germs right now, the hospital or the grocery store. #COVID19 #coronavirus #apocalypse2020",neutral
"????And after the rich panic-fleers bought all the available food, they did not hunker down at home. Instead, they went out partying.???? #classwarfare #Covid_19 
https://t.co/UAyo4f7gCZ",positive
Angry at the hoarders who leave shelves empty. Think of the vulnerable who need these supplies. #COVID19 #SelfishnessExposed,extremely negative
I m going to go so far as to say the trip I just took to the store changed my reality and I need some time to process it I have been the furthest thing from denial about this pandemic but seeing a grocery store in the age of COVID 19 with all its safety procedures was eerie,positive
In a statement released by the the Managing Director of the fund said that s economy faces 2 serious threats in and the sharp drop of prices 19,extremely negative
"You mean once you got caught inflating prices due to #coronavirus?

????Once this whole issue started to explode, we implemented a price decrease..????

#COVID19
 https://t.co/eW35AbzN43",neutral
The pandemic's impact on public transport systems around the world. #PublicTransport #COVID19,neutral
Retail Alert: Online shopping offers discounts on various products during the pandemic. #OnlineDeals #StayHomeShopSafe,neutral
Panic buying is a symptom of a deeper societal problem. Where's the empathy? #COVID19Chaos,extremely negative
Amazing to see how communities are coming together in these tough times. #COVID19 #StrongerTogether,positive
"#BreakingNews
Health and safety should never ever take a day off during #COVID2019

Victoria's Supermarket 
1400 Victoria Park #Toronto 
@TOPublicHealth 
@JohnTory https://t.co/bAkjQ873vN",positive
I grew up in a household with a single mum We didn t have stocks of food On pension day that is when my mum went shopping and got enough for us to eat and survive for the next fortnight Opposition Leader says of panic buying affecting low income people,extremely negative
Base metal prices are expected to drop in Q????2 2020 as markets are affected due to the Coronavirus outbreak and associated measures. Category specific impact assessment of COVID 19 covered in the latest edition of Procurement Beige Book. Click to know more https://t.co/xNUesxgSeC https://t.co/e0OJQcsoNy,negative
I already knew about some geniuses in Denmark but this supermarket sets the record First hand sanitizer you buy is about   5 50 euro second is about   134 That s a way to stop the hoarding   WELL DONE who dares to be next,extremely positive
